day,slot,code,activityType,location,course_name,day_slot,time,day_order,confirmed by tutor,teaching_hours,teachin_hourse_printalble,main_tutor,helping_stuff
الاثنين,1,EMP-104,تمارين,مدرج 1,Differential Equation and Numerical Analysis,الاثنين 1,المحاضرة الاولي 8:50 - 10:20,2,,,(,),د.اميرة الدسوقي,م.اندرو امجد
الاربعاء,2,EPE-111,تمارين,مدرج 1,Electrical Circuits I,الاربعاء 2,المحاضرة الثانية10:30 - 12:00,4,,,(,),د.وائل وهبه,م.عبير مصطفى سيد
